attribute_label,corresponding_attribute_label,file_name
source_id,"database::http://www.oregongeology.org",
record_id,MILO_ID,
name,SiteName,
aliases,,
commodity,Commodity,
commodity,CommodityAbbreviation,
latitude,latitude,
longitude,longitude,
crs,crs,
country,"United States",
state_or_province,"Oregon",
deposit_type_candidate,DepositType,
site_type,,
uri,"http://www.oregongeology.org",
created_by,"https://minmod.isi.edu/users/umn",
